prefix,admin_area_group_name,filename,admin_area_name
CAPRD,Capital Regional District,central_saanich,The Corporation of the District of Central Saanich
CAPRD,Capital Regional District,colwood,City of Colwood
CAPRD,Capital Regional District,esquimalt,The Corporation of the Township of Esquimalt
CAPRD,Capital Regional District,highlands,District of Highlands
CAPRD,Capital Regional District,langford,City of Langford
CAPRD,Capital Regional District,metchosin,District of Metchosin
CAPRD,Capital Regional District,north_saanich,District of North Saanich
CAPRD,Capital Regional District,oak_bay,The Corporation of the District of Oak Bay
CAPRD,Capital Regional District,saanich,The Corporation of the District of Saanich
CAPRD,Capital Regional District,sidney,Town of Sidney
CAPRD,Capital Regional District,sooke,District of Sooke
CAPRD,Capital Regional District,victoria,The Corporation of the City of Victoria
CAPRD,Capital Regional District,view_royal,Town of View Royal
CRD,Cariboo Regional District,100_mile_house,District of 100 Mile House
CRD,Cariboo Regional District,quesnel,City of Quesnel
CRD,Cariboo Regional District,wells,District of Wells
CRD,Cariboo Regional District,williams_lake,City of Williams Lake
CSHRD,Columbia Shuswap Regional District,golden,Town of Golden
CSHRD,Columbia Shuswap Regional District,revelstoke,City of Revelstoke
CSHRD,Columbia Shuswap Regional District,salmon_arm,City of Salmon Arm
CSHRD,Columbia Shuswap Regional District,sicamous,The Corporation of the District of Sicamous
CMXRD,Comox Valley Regional District,comox,Town of Comox
CMXRD,Comox Valley Regional District,courtenay,The Corporation of the City of Courtenay
CMXRD,Comox Valley Regional District,cumberland,Village of Cumberland
CVRD,Cowichan Valley Regional District,duncan,The Corporation of the City of Duncan
CVRD,Cowichan Valley Regional District,ladysmith,Town of Ladysmith
CVRD,Cowichan Valley Regional District,lake_cowichan,Town of Lake Cowichan
CVRD,Cowichan Valley Regional District,north_cowichan,The Corporation of the District of North Cowichan
FVRD,Fraser Valley Regional District,abbotsford,City of Abbotsford
FVRD,Fraser Valley Regional District,chilliwack,City of Chilliwack
FVRD,Fraser Valley Regional District,harrison_hot_springs,Village of Harrison Hot Springs
FVRD,Fraser Valley Regional District,hope,District of Hope
FVRD,Fraser Valley Regional District,kent,District of Kent
FVRD,Fraser Valley Regional District,mission,City of Mission
MVRD,Metro Vancouver Regional District,anmore,Village of Anmore
MVRD,Metro Vancouver Regional District,belcarra,Village of Belcarra
MVRD,Metro Vancouver Regional District,bowen_island,Bowen Island Municipality
MVRD,Metro Vancouver Regional District,burnaby,City of Burnaby
MVRD,Metro Vancouver Regional District,coquitlam,City of Coquitlam
MVRD,Metro Vancouver Regional District,delta,City of Delta
MVRD,Metro Vancouver Regional District,langley_city,City of Langley
MVRD,Metro Vancouver Regional District,langley_township,The Corporation of the Township of Langley
MVRD,Metro Vancouver Regional District,lions_bay,Village of Lions Bay
MVRD,Metro Vancouver Regional District,maple_ridge,City of Maple Ridge
MVRD,Metro Vancouver Regional District,new_westminster,City of New Westminster
MVRD,Metro Vancouver Regional District,north_vancouver_city,City of North Vancouver
MVRD,Metro Vancouver Regional District,north_vancouver_district,The Corporation of the District of North Vancouver
MVRD,Metro Vancouver Regional District,pitt_meadows,City of Pitt Meadows
MVRD,Metro Vancouver Regional District,port_coquitlam,City of Port Coquitlam
MVRD,Metro Vancouver Regional District,port_moody,City of Port Moody
MVRD,Metro Vancouver Regional District,richmond,City of Richmond
MVRD,Metro Vancouver Regional District,surrey,City of Surrey
MVRD,Metro Vancouver Regional District,vancouver,City of Vancouver
MVRD,Metro Vancouver Regional District,west_vancouver,District Municipality of West Vancouver
MVRD,Metro Vancouver Regional District,white_rock,City of White Rock
NCRD,North Coast Regional District,masset,Village of Masset
NCRD,North Coast Regional District,port_clements,Village of Port Clements
NCRD,North Coast Regional District,port_edward,District of Port Edward
NCRD,North Coast Regional District,prince_rupert,City of Prince Rupert
NCRD,North Coast Regional District,daajing_giids,Village of Daajing Giids
PRRD,Peace River Regional District,chetwynd,District of Chetwynd
PRRD,Peace River Regional District,dawson_creek,The Corporation of the City of Dawson Creek
PRRD,Peace River Regional District,fort_st_john,City of Fort St John
PRRD,Peace River Regional District,hudsons_hope,District of Hudsons Hope
PRRD,Peace River Regional District,pouce_coupe,The Corporation of the Village of Pouce Coupe
PRRD,Peace River Regional District,taylor,District of Taylor
PRRD,Peace River Regional District,tumbler_ridge,District of Tumbler Ridge
NRRM,Northern Rockies Regional Municipality,nrrm,Northern Rockies Regional Municipality
qRD,qathet Regional District,powell_river,City of Powell River
ACRD,Regional District of Alberni-Clayoquot,port_alberni,City of Port Alberni
ACRD,Regional District of Alberni-Clayoquot,tofino,Corporation of the Village of Tofino
ACRD,Regional District of Alberni-Clayoquot,ucluelet,District of Ucluelet
BNRD,Regional District of Bulkley-Nechako,burns_lake,The Corporation of the Village of Burns Lake
BNRD,Regional District of Bulkley-Nechako,fort_st_james,District of Fort St James
BNRD,Regional District of Bulkley-Nechako,fraser_lake,Village of Fraser Lake
BNRD,Regional District of Bulkley-Nechako,granisle,Village of Granisle
BNRD,Regional District of Bulkley-Nechako,houston,District of Houston
BNRD,Regional District of Bulkley-Nechako,smithers,Town of Smithers
BNRD,Regional District of Bulkley-Nechako,telkwa,The Corporation of the Village of Telkwa
BNRD,Regional District of Bulkley-Nechako,vanderhoof,District of Vanderhoof
CKRD,Regional District of Central Kootenay,castlegar,City of Castlegar
CKRD,Regional District of Central Kootenay,creston,Town of Creston
CKRD,Regional District of Central Kootenay,kaslo,Village of Kaslo
CKRD,Regional District of Central Kootenay,nakusp,Village of Nakusp
CKRD,Regional District of Central Kootenay,nelson,The Corporation of the City of Nelson
CKRD,Regional District of Central Kootenay,new_denver,Village of New Denver
CKRD,Regional District of Central Kootenay,salmo,The Corporation of the Village of Salmo
CKRD,Regional District of Central Kootenay,silverton,The Corporation of the Village of Silverton
CKRD,Regional District of Central Kootenay,slocan,Village of Slocan
CORD,Regional District of Central Okanagan,kelowna,City of Kelowna
CORD,Regional District of Central Okanagan,lake_country,District of Lake Country
CORD,Regional District of Central Okanagan,peachland,The Corporation of the District of Peachland
CORD,Regional District of Central Okanagan,west_kelowna,City of West Kelowna
EKRD,Regional District of East Kootenay,canal_flats,Village of Canal Flats
EKRD,Regional District of East Kootenay,cranbrook,The Corporation of the City of Cranbrook
EKRD,Regional District of East Kootenay,elkford,District of Elkford
EKRD,Regional District of East Kootenay,fernie,The Corporation of the City of Fernie
EKRD,Regional District of East Kootenay,invermere,District of Invermere
EKRD,Regional District of East Kootenay,kimberley,City of Kimberley
EKRD,Regional District of East Kootenay,radium_hot_springs,Village of Radium Hot Springs
EKRD,Regional District of East Kootenay,sparwood,District of Sparwood
FFGRD,Regional District of Fraser-Fort George,mackenzie,District of Mackenzie
FFGRD,Regional District of Fraser-Fort George,mcbride,The Corporation of the Village of McBride
FFGRD,Regional District of Fraser-Fort George,prince_george,City of Prince George
FFGRD,Regional District of Fraser-Fort George,valemont,Village of Valemount
KSRD,Regional District of Kitimat-Stikine,hazelton,The Corporation of the Village of Hazelton
KSRD,Regional District of Kitimat-Stikine,kitimat,District of Kitimat
KSRD,Regional District of Kitimat-Stikine,new_hazelton,District of New Hazelton
KSRD,Regional District of Kitimat-Stikine,stewart,District of Stewart
KSRD,Regional District of Kitimat-Stikine,terrace,City of Terrace
KBRD,Regional District of Kootenay Boundary,fruitvale,The Corporation of the Village of Fruitvale
KBRD,Regional District of Kootenay Boundary,grand_forks,City of Grand Forks
KBRD,Regional District of Kootenay Boundary,greenwood,City of Greenwood
KBRD,Regional District of Kootenay Boundary,midway,Village of Midway
KBRD,Regional District of Kootenay Boundary,montrose,Village of Montrose
KBRD,Regional District of Kootenay Boundary,rossland,City of Rossland
KBRD,Regional District of Kootenay Boundary,trail,City of Trail
KBRD,Regional District of Kootenay Boundary,warfield,Village of Warfield
MWRD,Regional District of Mount Waddington,alert_bay,The Corporation of the Village of Alert Bay
MWRD,Regional District of Mount Waddington,port_alice,Village of Port Alice
MWRD,Regional District of Mount Waddington,port_hardy,District of Port Hardy
MWRD,Regional District of Mount Waddington,port_mcneill,Town of Port McNeill
NRD,Regional District of Nanaimo,lantzville,District of Lantzville
NRD,Regional District of Nanaimo,nanaimo,City of Nanaimo
NRD,Regional District of Nanaimo,parksville,City of Parksville
NRD,Regional District of Nanaimo,qualicum_beach,Town of Qualicum Beach
NORD,Regional District of North Okanagan,armstrong,City of Armstrong
NORD,Regional District of North Okanagan,coldstream,The Corporation of the District of Coldstream
NORD,Regional District of North Okanagan,enderby,The Corporation of the City of Enderby
NORD,Regional District of North Okanagan,lumby,The Corporation of the Village of Lumby
NORD,Regional District of North Okanagan,spallumcheen,The Corporation of the Township of Spallumcheen
NORD,Regional District of North Okanagan,vernon,The Corporation of the City of Vernon
OSRD,Regional District of Okanagan-Similkameen,keremeos,Village of Keremeos
OSRD,Regional District of Okanagan-Similkameen,oliver,Town of Oliver
OSRD,Regional District of Okanagan-Similkameen,osoyoos,Town of Osoyoos
OSRD,Regional District of Okanagan-Similkameen,penticton,The Corporation of the City of Penticton
OSRD,Regional District of Okanagan-Similkameen,princeton,Town of Princeton
OSRD,Regional District of Okanagan-Similkameen,summerland,The Corporation of the District of Summerland
SLRD,Squamish-Lillooet Regional District,lillooet,District of Lillooet
SLRD,Squamish-Lillooet Regional District,pemberton,Village of Pemberton
SLRD,Squamish-Lillooet Regional District,squamish,District of Squamish
SLRD,Squamish-Lillooet Regional District,whistler,Resort Municipality of Whistler
STRD,Strathcona Regional District,campbell_river,City of Campbell River
STRD,Strathcona Regional District,gold_river,Village of Gold River
STRD,Strathcona Regional District,sayward,Village of Sayward
STRD,Strathcona Regional District,tahsis,Village of Tahsis
STRD,Strathcona Regional District,zeballos,The Corporation of the Village of Zeballos
SCRD,Sunshine Coast Regional District,gibsons,Town of Gibsons
SCRD,Sunshine Coast Regional District,sechelt,District of Sechelt
TNRD,Thompson-Nicola Regional District,ashcroft,The Corporation of the Village of Ashcroft
TNRD,Thompson-Nicola Regional District,barriere,District of Barriere
TNRD,Thompson-Nicola Regional District,cache_creek,Village of Cache Creek
TNRD,Thompson-Nicola Regional District,chase,Village of Chase
TNRD,Thompson-Nicola Regional District,clearwater,District of Clearwater
TNRD,Thompson-Nicola Regional District,clinton,Village of Clinton
TNRD,Thompson-Nicola Regional District,kamloops,City of Kamloops
TNRD,Thompson-Nicola Regional District,logan_lake,District of Logan Lake
TNRD,Thompson-Nicola Regional District,lytton,Village of Lytton
TNRD,Thompson-Nicola Regional District,merritt,City of Merritt
TNRD,Thompson-Nicola Regional District,sun_peaks,Sun Peaks Mountain Resort Municipality
CCRD,Central Coast Regional District,ccrd,Central Coast Regional District
SRD,Stikine Region (Unincorporated),srd,Stikine Region (Unincorporated)
